concern,skin_type,ingredients,benefits,directions,brands,notes
dry skin,oily,"squalane, panthenol",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Krave Beauty, Avene",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,dry,"panthenol, hyaluronic acid",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Drunk Elephant, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,normal,"licorice root, azelaic acid",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Clarins, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,sensitive,"centella asiatica, calendula",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, Naturium, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,oily,"bakuchiol, peptides",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Peach & Lily, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,combination,"ceramides, cholesterol",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Sulwhasoo, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,combination,"green tea, aloe vera",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, StriVectin, Olay",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,combination,"squalane, hyaluronic acid",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Shiseido, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
scarring,normal,"colloidal oatmeal, ceramides",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Cosrx, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,normal,"salicylic acid, tea tree oil",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, Clarins, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,combination,"niacinamide, benzoyl peroxide",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Glow Recipe, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,normal,"niacinamide, azelaic acid",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Cosrx, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
inflamed acne,combination,"tea tree oil, azelaic acid",Helps improve inflamed acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, LANEIGE, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,normal,"calendula, centella asiatica",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, LANEIGE, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,normal,"coenzyme Q10, peptides",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Bioderma, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,combination,"cholesterol, colloidal oatmeal",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Bioderma, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
oily T-zone,oily,"peptides, retinol",Helps improve oily T-zone; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Dermalogica, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,sensitive,"fatty acids, lanolin",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Minimalist, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,oily,"bakuchiol, retinol",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Tatcha, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,combination,"kojic acid, vitamin C",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"SK-II, La Roche Posay, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,normal,"licorice root, azelaic acid",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, Estee Lauder, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,dry,"colloidal oatmeal, cholesterol",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Aveeno, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,combination,"centella asiatica, allantoin",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, SK-II, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,dry,"colloidal oatmeal, fatty acids",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Clarins, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,oily,"vitamin C, azelaic acid",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Guerlain, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,normal,"colloidal oatmeal, lanolin",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Estee Lauder, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,combination,"azelaic acid, licorice root",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, SK-II, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,oily,"kojic acid, arbutin",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, La Roche Posay, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,combination,"peptides, collagen",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, La Roche Posay, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
scarring,combination,"niacinamide, tranexamic acid",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Drunk Elephant, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,normal,"squalane, hyaluronic acid",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Avene, Versed",Avoid mixing strong actives; discontinue if irritation occurs
itchy skin,combination,"fatty acids, lanolin",Helps improve itchy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Sisley Paris, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,normal,"azelaic acid, vitamin C",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Sulwhasoo, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,combination,"benzoyl peroxide, niacinamide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Good Molecules, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,dry,"centella asiatica, green tea",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, StriVectin, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
back acne,combination,"tea tree oil, azelaic acid",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Bioderma, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
back acne,dry,"salicylic acid, tea tree oil",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Kiehl's, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,oily,"peptides, coenzyme Q10",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Sisley Paris, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,oily,"niacinamide, azelaic acid",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Biossance, Avene",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,sensitive,"salicylic acid, niacinamide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Sisley Paris, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
melasma,combination,"tranexamic acid, azelaic acid",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Paula's Choice, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,combination,"calendula, aloe vera",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Shiseido, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,combination,"niacinamide, azelaic acid",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Babor, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,combination,"AHA, arbutin",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Farmacy, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,normal,"tea tree oil, niacinamide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Augustinus Bader, Avene",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,sensitive,"glycerin, hyaluronic acid",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Sulwhasoo, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,sensitive,"hyaluronic acid, ceramides",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, La Mer, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,normal,"ceramides, panthenol",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Murad, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,sensitive,"vitamin C, azelaic acid",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Sunday Riley, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,sensitive,"lanolin, fatty acids",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Peach & Lily, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
back acne,sensitive,"benzoyl peroxide, tea tree oil",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Peach & Lily, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,sensitive,"kojic acid, arbutin",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Drunk Elephant, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,combination,"bakuchiol, collagen",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Kiehl's, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,dry,"tea tree oil, salicylic acid",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Cetaphil, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
large pores,normal,"allantoin, aloe vera",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, SK-II, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,combination,"AHA, azelaic acid",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Krave Beauty, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,oily,"green tea, aloe vera",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, 111Skin, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,combination,"coenzyme Q10, collagen",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Versed, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
body acne,oily,"salicylic acid, benzoyl peroxide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Naturium, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,oily,"benzoyl peroxide, azelaic acid",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Ren Clean Skincare, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,dry,"AHA, arbutin",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Cetaphil, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
large pores,sensitive,"AHA, azelaic acid",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Inkey List, Babor",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,sensitive,"benzoyl peroxide, azelaic acid",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, First Aid Beauty, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,sensitive,"benzoyl peroxide, salicylic acid",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Sulwhasoo, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,sensitive,"AHA, azelaic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, The Ordinary, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,normal,"AHA, azelaic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Murad, Versed",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,normal,"salicylic acid, azelaic acid",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Neutrogena, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,combination,"niacinamide, azelaic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Babor, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,dry,"squalane, glycerin",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Naturium, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,combination,"AHA, kojic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Kiehl's, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,sensitive,"panthenol, glycerin",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Estee Lauder, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,oily,"glycerin, hyaluronic acid",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Obagi, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,combination,"retinol, coenzyme Q10",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, CeraVe, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,combination,"squalane, ceramides",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Peach & Lily, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
body acne,oily,"salicylic acid, azelaic acid",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Versed, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,oily,"lanolin, colloidal oatmeal",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Aveeno, Murad",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,sensitive,"AHA, arbutin",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, 111Skin, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
peeling skin,dry,"hyaluronic acid, glycerin",Helps improve peeling skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, Guerlain, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,dry,"arbutin, azelaic acid",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Krave Beauty, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,sensitive,"squalane, panthenol",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Sunday Riley, Murad",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,normal,"arbutin, AHA",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Sulwhasoo, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
sallow skin,dry,"AHA, vitamin C",Helps improve sallow skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, The Ordinary, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,sensitive,"azelaic acid, arbutin",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Inkey List, LANEIGE",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,normal,"niacinamide, salicylic acid",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Peach & Lily, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
itchy skin,dry,"ceramides, lanolin",Helps improve itchy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Dermalogica, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,normal,"benzoyl peroxide, tea tree oil",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Neutrogena, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,normal,"squalane, hyaluronic acid",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, First Aid Beauty, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
scarring,oily,"retinol, coenzyme Q10",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, SK-II, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,dry,"azelaic acid, vitamin C",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Good Molecules, LANEIGE",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,sensitive,"azelaic acid, benzoyl peroxide",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Babor, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
age spots,normal,"bakuchiol, coenzyme Q10",Helps improve age spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Estee Lauder, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,dry,"peptides, bakuchiol",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, Babor, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,dry,"AHA, arbutin",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Paula's Choice, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,sensitive,"squalane, panthenol",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Augustinus Bader, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
back acne,combination,"tea tree oil, azelaic acid",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, CeraVe, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,sensitive,"licorice root, azelaic acid",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Tatcha, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
redness,normal,"centella asiatica, allantoin",Helps improve redness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Good Molecules, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,sensitive,"collagen, peptides",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Babor, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,combination,"kojic acid, AHA",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Cosrx, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,combination,"squalane, panthenol",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Glow Recipe, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,oily,"lanolin, colloidal oatmeal",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, Farmacy, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,normal,"azelaic acid, tranexamic acid",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, LANEIGE, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,oily,"azelaic acid, niacinamide",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, First Aid Beauty, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,dry,"green tea, centella asiatica",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Drunk Elephant, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,oily,"vitamin C, AHA",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, LANEIGE, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,oily,"squalane, glycerin",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Simple, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,oily,"niacinamide, benzoyl peroxide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Good Molecules, Avene",Avoid mixing strong actives; discontinue if irritation occurs
acne,sensitive,"niacinamide, benzoyl peroxide",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, CeraVe, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,normal,"salicylic acid, niacinamide",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Sisley Paris, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,dry,"arbutin, AHA",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Neutrogena, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,combination,"azelaic acid, tea tree oil",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Obagi, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,combination,"niacinamide, azelaic acid",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Tatcha, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,normal,"fatty acids, colloidal oatmeal",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Sunday Riley, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,sensitive,"niacinamide, salicylic acid",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Versed, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,combination,"AHA, vitamin C",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Sulwhasoo, Babor",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,sensitive,"niacinamide, benzoyl peroxide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Inkey List, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,combination,"retinol, peptides",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, CeraVe, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,oily,"niacinamide, azelaic acid",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Minimalist, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,oily,"calendula, centella asiatica",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"SK-II, Simple, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
